Date,Switzerland
2020-08-24,1160000
2020-08-25,1180000
2020-08-26,1200000
2020-08-27,1220000
2020-08-28,1240000
2020-08-29,1260000
2020-08-30,1260000
2020-08-31,1270000
2020-09-01,1290000
2020-09-02,1300000
2020-09-03,1300000
2020-09-04,1300000
2020-09-05,1300000
2020-09-06,1300000
2020-09-07,1310000
2020-09-08,1310000
2020-09-09,1310000
2020-09-10,1300000
2020-09-11,1290000
2020-09-12,1260000
2020-09-13,1240000
2020-09-14,1240000
2020-09-15,1230000
2020-09-16,1220000
2020-09-17,1210000
2020-09-18,1210000
2020-09-19,1190000
2020-09-20,1190000
2020-09-21,1200000
2020-09-22,1200000
2020-09-23,1200000
2020-09-24,1200000
2020-09-25,1200000
2020-09-26,1190000
2020-09-27,1190000
2020-09-28,1190000
2020-09-29,1200000
2020-09-30,1190000
2020-10-01,1190000
2020-10-02,1200000
2020-10-03,1190000
2020-10-04,1010000
2020-10-05,1200000
2020-10-06,1210000
2020-10-07,1210000
2020-10-08,1200000
2020-10-09,1200000
2020-10-10,1200000
2020-10-11,1210000
