country,name,start,end
at,Austria,2020-06-24,2022-02-28
be,Belgium,2020-09-27,2022-11-13
br,Brazil,2020-09-05,2021-09-14
ca,Canada,2020-08-07,2022-06-15
ch,Switzerland,2020-06-06,2022-03-31
cz,Czechia,2020-09-10,2021-10-30
de,Germany,2020-06-14,2022-11-14
dk,Denmark,2020-06-18,2022-03-30
ec,Ecuador,2020-09-20,2020-12-10
ee,Estonia,2020-08-27,2022-04-29
es,Spain,2020-06-16,2022-10-07
fi,Finland,2020-08-31,2022-05-31
gu,Guam,2020-09-10,2021-12-30
hr,Croatia,2020-12-14,2022-11-13
ie,Ireland,2020-07-06,2022-03-24
it,Italy,2020-06-01,2022-11-13
lv,Latvia,2020-07-04,2022-11-13
mt,Malta,2020-09-18,2022-07-10
nl,Netherlands,2020-09-05,2022-04-22
pl,Poland,2020-05-21,2022-03-28
pt,Portugal,2020-09-18,2022-06-09
si,Slovenia,2020-09-13,2022-04-03
ukenw,England and Wales,2020-09-18,2022-11-12
ukgi,Gibraltar,2020-07-22,2022-06-03
ukni,Northern Ireland,2020-07-22,2022-09-20
uksc,Scotland,2020-08-03,2022-04-29
usal,Alabama,2020-08-12,2022-11-14
usde,Delaware,2020-08-21,2022-11-14
usnv,Nevada,2020-08-28,2020-10-12
usva,Virginia,2020-08-05,2022-11-13
uswy,Wyoming,2020-08-21,2022-11-14
za,South Africa,2020-09-07,2021-06-05
