ie,4.9,1.2,https://www.irishexaminer.com/news/arid-40037825.html
ukni,1.9,0.3,https://www.irishexaminer.com/news/arid-40038251.html
at,8.9,0.8,https://de.wikipedia.org/wiki/Stopp_Corona
ch,8.6,1.5,https://www.experimental.bfs.admin.ch/expstat/en/home/innovative-methods/swisscovid-app-monitoring.html
de,83.2,17.5,https://micb25.github.io/dka/index_en.html
dk,5.8,0.8,https://sum.dk/Aktuelt/Nyheder/Coronavirus/2020/Juli/Appen-smitte-stop-er-et-effektivt-redskab-i-smitteopsporing.aspx
it,60.3,4.3,https://www.euractiv.com/section/politics/short_news/rome-italian-covid-app-immuni-lacks-sufficient-users-to-be-effective/
lv,1.9,0.1,https://eng.lsm.lv/article/society/health/stop-covid-app-hits-80-000-users-in-latvia.a365884/
pl,38,0.5,https://polandin.com/49396270/over-500000-arm-themselves-against-covid19-with-protego-app
es,47.4,,
fi,5.5,,
ee,1.3,,
usva,8.5,,
usal,4.9,,
usde,1.0,,
ca,13.4,,
